Sample in Buffer,Sample in Window,TRIGGER,genblk1[0].Aquila_SoC/I_Cache/p_data_o[31:0],genblk1[0].Aquila_SoC/I_Cache/m_data_i[127:0],genblk1[0].Aquila_SoC/I_Cache/p_addr_i[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX
0,0,0,00000000,00000000000000000000000000000000,0000060c
1,1,0,00000000,00000000000000000000000000000000,0000060c
2,2,0,00000000,00000000000000000000000000000000,0000060c
3,3,0,00000000,00000000000000000000000000000000,0000060c
4,4,0,00000000,00000000000000000000000000000000,00000604
5,5,0,00000000,00000000000000000000000000000000,00000608
6,6,0,00000000,00000000000000000000000000000000,0000060c
7,7,0,00000000,00000000000000000000000000000000,0000060c
8,8,0,00000000,00000000000000000000000000000000,0000060c
9,9,0,00000000,00000000000000000000000000000000,0000060c
10,10,0,00000000,00000000000000000000000000000000,0000060c
11,11,0,00000000,00000000000000000000000000000000,0000060c
12,12,0,00000000,00000000000000000000000000000000,00000604
13,13,0,00000000,00000000000000000000000000000000,00000608
14,14,0,00000000,00000000000000000000000000000000,0000060c
15,15,0,00000000,00000000000000000000000000000000,0000060c
16,16,0,00000000,00000000000000000000000000000000,0000060c
17,17,0,00000000,00000000000000000000000000000000,0000060c
18,18,0,00000000,00000000000000000000000000000000,0000060c
19,19,0,00000000,00000000000000000000000000000000,0000060c
20,20,0,00000000,00000000000000000000000000000000,00000604
21,21,0,00000000,00000000000000000000000000000000,00000608
22,22,0,00000000,00000000000000000000000000000000,0000060c
23,23,0,00000000,00000000000000000000000000000000,0000060c
24,24,0,00000000,00000000000000000000000000000000,0000060c
25,25,0,00000000,00000000000000000000000000000000,0000060c
26,26,0,00000000,00000000000000000000000000000000,0000060c
27,27,0,00000000,00000000000000000000000000000000,0000060c
28,28,0,00000000,00000000000000000000000000000000,00000604
29,29,0,00000000,00000000000000000000000000000000,00000608
30,30,0,00000000,00000000000000000000000000000000,00000610
31,31,0,00000000,00000000000000000000000000000000,00000614
32,32,0,00000000,00000000000000000000000000000000,000005b8
33,33,0,00000000,00000000000000000000000000000000,000005bc
34,34,0,00000000,00000000000000000000000000000000,000005bc
35,35,0,00000000,00000000000000000000000000000000,000005bc
36,36,0,00000000,00000000000000000000000000000000,000005bc
37,37,0,00000000,00000000000000000000000000000000,000005bc
38,38,0,00000000,00000000000000000000000000000000,000005c0
39,39,0,00000000,00000000000000000000000000000000,0000057c
40,40,0,00000000,00000000000000000000000000000000,0000057c
41,41,0,00000000,00000000000000000000000000000000,000005f8
42,42,0,00000000,00000000000000000000000000000000,000005c4
43,43,0,00000000,00000000000000000000000000000000,000005c8
44,44,0,00000000,00000000000000000000000000000000,000005cc
45,45,0,00000000,00000000000000000000000000000000,000005d0
46,46,0,00000000,00000000000000000000000000000000,000005d0
47,47,0,00000000,00000000000000000000000000000000,000005d4
48,48,0,00000000,00000000000000000000000000000000,000005d4
49,49,0,00000000,00000000000000000000000000000000,000005d8
50,50,0,00000000,00000000000000000000000000000000,000005d8
51,51,0,00000000,00000000000000000000000000000000,000005dc
52,52,0,00000000,00000000000000000000000000000000,000005dc
53,53,0,00000000,00000000000000000000000000000000,000005e0
54,54,0,00000000,00000000000000000000000000000000,000005e0
55,55,0,00000000,00000000000000000000000000000000,000005e4
56,56,0,00000000,00000000000000000000000000000000,000005e4
57,57,0,00000000,00000000000000000000000000000000,000005e8
58,58,0,00000000,00000000000000000000000000000000,000005e8
59,59,0,00000000,00000000000000000000000000000000,000005ec
60,60,0,00000000,00000000000000000000000000000000,000005ec
61,61,0,00000000,00000000000000000000000000000000,000005f0
62,62,0,00000000,00000000000000000000000000000000,000005f0
63,63,0,00000000,00000000000000000000000000000000,000005f4
64,64,0,00000000,00000000000000000000000000000000,000005f4
65,65,0,00000000,00000000000000000000000000000000,000005f8
66,66,0,00000000,00000000000000000000000000000000,000005fc
67,67,0,00000000,00000000000000000000000000000000,000008b0
68,68,0,00000000,00000000000000000000000000000000,000008b4
69,69,0,00000000,00000000000000000000000000000000,000008b8
70,70,0,00000000,00000000000000000000000000000000,00000058
71,71,0,00000000,00000000000000000000000000000000,0000005c
72,72,0,00000000,00000000000000000000000000000000,00000060
73,73,0,00000000,00000000000000000000000000000000,00000064
74,74,0,00000000,00000000000000000000000000000000,00000064
75,75,0,00000000,00000000000000000000000000000000,00000064
76,76,0,00000000,00000000000000000000000000000000,00000068
77,77,0,00000000,00000000000000000000000000000000,00000068
78,78,0,00000000,00000000000000000000000000000000,00000068
79,79,0,00000000,00000000000000000000000000000000,00000068
80,80,0,00000000,00000000000000000000000000000000,00000068
81,81,0,00000000,00000000000000000000000000000000,00000068
82,82,0,00000000,00000000000000000000000000000000,00000068
83,83,0,00000000,00000000000000000000000000000000,00000068
84,84,0,00000000,00000000000000000000000000000000,00000068
85,85,0,00000000,00000000000000000000000000000000,00000068
86,86,0,00000000,00000000000000000000000000000000,00000068
87,87,0,00000000,00000000000000000000000000000000,0000006c
88,88,0,00000000,00000000000000000000000000000000,00000070
89,89,0,00000000,00000000000000000000000000000000,000008b4
90,90,0,00000000,00000000000000000000000000000000,000008b8
91,91,0,00000000,00000000000000000000000000000000,000008bc
92,92,0,00000000,00000000000000000000000000000000,000008c0
93,93,0,00000000,00000000000000000000000000000000,000008b8
94,94,0,00000000,00000000000000000000000000000000,000008bc
95,95,0,00000000,00000000000000000000000000000000,000008c0
96,96,0,00000000,00000000000000000000000000000000,000008c4
97,97,0,00000000,00000000000000000000000000000000,000008c4
98,98,0,00000000,00000000000000000000000000000000,000008c4
99,99,0,00000000,00000000000000000000000000000000,000008c8
100,100,1,00000000,00000000000000000000000000000000,80002264
101,101,0,00000000,00000000000000000000000000000000,80002264
102,102,0,00000000,00000000000000000000000000000000,80002264
103,103,0,00000000,00000000000000000000000000000000,80002264
104,104,0,00000000,00000000000000000000000000000000,80002264
105,105,0,00000000,00000000000000000000000000000000,80002264
106,106,0,00000000,00000000000000000000000000000000,80002264
107,107,0,00000000,00000000000000000000000000000000,80002264
108,108,0,00000000,00000000000000000000000000000000,80002264
109,109,0,00000000,00000000000000000000000000000000,80002264
110,110,0,00000000,00000000000000000000000000000000,80002264
111,111,0,00000000,00000000000000000000000000000000,80002264
112,112,0,00000000,00000000000000000000000000000000,80002264
113,113,0,00000000,00000000000000000000000000000000,80002264
114,114,0,00000000,00000000000000000000000000000000,80002264
115,115,0,00000000,00000000000000000000000000000000,80002264
116,116,0,00000000,00000000000000000000000000000000,80002264
117,117,0,00000000,00000000000000000000000000000000,80002264
118,118,0,00000000,00000000000000000000000000000000,80002264
119,119,0,00000000,00000000000000000000000000000000,80002264
120,120,0,00000000,00000000000000000000000000000000,80002264
121,121,0,00000000,00000000000000000000000000000000,80002264
122,122,0,00000000,00000000000000000000000000000000,80002264
123,123,0,00000000,00000000000000000000000000000000,80002264
124,124,0,00000000,00000000000000000000000000000000,80002264
125,125,0,00000000,00000000000000000000000000000000,80002264
126,126,0,00000000,00000000000000000000000000000000,80002264
127,127,0,00000000,00000000000000000000000000000000,80002264
128,128,0,00000000,00000000000000000000000000000000,80002264
129,129,0,00000000,00000000000000000000000000000000,80002264
130,130,0,00000000,00000000000000000000000000000000,80002264
131,131,0,00000000,00000000000000000000000000000000,80002264
132,132,0,00000000,00000000000000000000000000000000,80002264
133,133,0,00000000,00000000000000000000000000000000,80002264
134,134,0,00000000,00000000000000000000000000000000,80002264
135,135,0,00000000,00000000000000000000000000000000,80002264
136,136,0,00000000,00000000000000000000000000000000,80002264
137,137,0,00000000,00000000000000000000000000000000,80002264
138,138,0,00000000,00000000000000000000000000000000,80002264
139,139,0,00000000,00000000000000000000000000000000,80002264
140,140,0,00000000,00000000000000000000000000000000,80002264
141,141,0,00000000,00000000000000000000000000000000,80002264
142,142,0,00000000,00000000000000000000000000000000,80002264
143,143,0,00000000,00000000000000000000000000000000,80002264
144,144,0,00000000,00000000000000000000000000000000,80002264
145,145,0,00000000,00000000000000000000000000000000,80002264
146,146,0,00000000,00000000000000000000000000000000,80002264
147,147,0,00000000,00000000000000000000000000000000,80002264
148,148,0,00000000,00000000000000000000000000000000,80002264
149,149,0,00000000,00000000000000000000000000000000,80002264
150,150,0,00000000,00000000000000000000000000000000,80002264
151,151,0,00000000,00000000000000000000000000000000,80002264
152,152,0,00000000,00000000000000000000000000000000,80002264
153,153,0,00000000,00000000000000000000000000000000,80002264
154,154,0,00000000,00000000000000000000000000000000,80002264
155,155,0,00000000,00000000000000000000000000000000,80002264
156,156,0,00000000,00000000000000000000000000000000,80002264
157,157,0,00000000,00000000000000000000000000000000,80002264
158,158,0,00000000,00000000000000000000000000000000,80002264
159,159,0,00000000,00000000000000000000000000000000,80002264
160,160,0,00000000,00000000000000000000000000000000,80002264
161,161,0,00000000,00000000000000000000000000000000,80002264
162,162,0,00000000,00000000000000000000000000000000,80002264
163,163,0,00000000,00000000000000000000000000000000,80002264
164,164,0,00000000,00000000000000000000000000000000,80002264
165,165,0,00000000,00000000000000000000000000000000,80002264
166,166,0,00000000,00000000000000000000000000000000,80002264
167,167,0,00000000,00000000000000000000000000000000,80002264
168,168,0,00000000,00000000000000000000000000000000,80002264
169,169,0,00000000,00000000000000000000000000000000,80002264
170,170,0,00000000,00000000000000000000000000000000,80002264
171,171,0,00000000,00000000000000000000000000000000,80002264
172,172,0,00000000,00000000000000000000000000000000,80002264
173,173,0,00000000,00000000000000000000000000000000,80002264
174,174,0,00000000,00000000000000000000000000000000,80002264
175,175,0,00000000,00000000000000000000000000000000,80002264
176,176,0,00000000,00000000000000000000000000000000,80002264
177,177,0,00000000,00000000000000000000000000000000,80002264
178,178,0,00000000,00000000000000000000000000000000,80002264
179,179,0,00000000,00000000000000000000000000000000,80002264
180,180,0,00000000,00000000000000000000000000000000,80002264
181,181,0,00000000,00000000000000000000000000000000,80002264
182,182,0,00000000,00000000000000000000000000000000,80002264
183,183,0,00000000,00000000000000000000000000000000,80002264
184,184,0,00000000,00000000000000000000000000000000,80002264
185,185,0,00000000,00000000000000000000000000000000,80002264
186,186,0,00000000,00000000000000000000000000000000,80002264
187,187,0,00000000,00000000000000000000000000000000,80002264
188,188,0,00000000,00000000000000000000000000000000,80002264
189,189,0,00000000,00000000000000000000000000000000,80002264
190,190,0,00000000,00000000000000000000000000000000,80002264
191,191,0,00000000,00000000000000000000000000000000,80002264
192,192,0,00000000,00000000000000000000000000000000,80002264
193,193,0,00000000,00000000000000000000000000000000,80002264
194,194,0,00000000,00000000000000000000000000000000,80002264
195,195,0,00000000,00000000000000000000000000000000,80002264
196,196,0,00000000,00000000000000000000000000000000,80002264
197,197,0,00000000,00000000000000000000000000000000,80002264
198,198,0,00000000,00000000000000000000000000000000,80002264
199,199,0,00000000,00000000000000000000000000000000,80002264
200,200,0,00000000,00000000000000000000000000000000,80002264
201,201,0,00000000,00000000000000000000000000000000,80002264
202,202,0,00000000,00000000000000000000000000000000,80002264
203,203,0,00000000,00000000000000000000000000000000,80002264
204,204,0,00000000,00000000000000000000000000000000,80002264
205,205,0,00000000,00000000000000000000000000000000,80002264
206,206,0,00000000,00000000000000000000000000000000,80002264
207,207,0,00000000,00000000000000000000000000000000,80002264
208,208,0,00000000,00000000000000000000000000000000,80002264
209,209,0,00000000,00000000000000000000000000000000,80002264
210,210,0,00000000,00000000000000000000000000000000,80002264
211,211,0,00000000,00000000000000000000000000000000,80002264
212,212,0,00000000,00000000000000000000000000000000,80002264
213,213,0,00000000,00000000000000000000000000000000,80002264
214,214,0,00000000,00000000000000000000000000000000,80002264
215,215,0,00000000,00000000000000000000000000000000,80002264
216,216,0,00000000,00000000000000000000000000000000,80002264
217,217,0,00000000,00000000000000000000000000000000,80002264
218,218,0,00000000,00000000000000000000000000000000,80002264
219,219,0,00000000,00000000000000000000000000000000,80002264
220,220,0,00000000,00000000000000000000000000000000,80002264
221,221,0,00000000,00000000000000000000000000000000,80002264
222,222,0,00000000,00000000000000000000000000000000,80002264
223,223,0,00000000,00000000000000000000000000000000,80002264
224,224,0,00000000,00000000000000000000000000000000,80002264
225,225,0,00000000,00000000000000000000000000000000,80002264
226,226,0,00000000,00000000000000000000000000000000,80002264
227,227,0,00000000,00000000000000000000000000000000,80002264
228,228,0,00000000,00000000000000000000000000000000,80002264
229,229,0,00000000,00000000000000000000000000000000,80002264
230,230,0,00000000,00000000000000000000000000000000,80002264
231,231,0,00000000,00000000000000000000000000000000,80002264
232,232,0,00000000,00000000000000000000000000000000,80002264
233,233,0,00000000,00000000000000000000000000000000,80002264
234,234,0,00000000,00000000000000000000000000000000,80002264
235,235,0,00000000,00000000000000000000000000000000,80002264
236,236,0,00000000,00000000000000000000000000000000,80002264
237,237,0,00000000,00000000000000000000000000000000,80002264
238,238,0,00000000,00000000000000000000000000000000,80002264
239,239,0,00000000,00000000000000000000000000000000,80002264
240,240,0,00000000,00000000000000000000000000000000,80002264
241,241,0,00000000,00000000000000000000000000000000,80002264
242,242,0,00000000,00000000000000000000000000000000,80002264
243,243,0,00000000,00000000000000000000000000000000,80002264
244,244,0,00000000,00000000000000000000000000000000,80002264
245,245,0,00000000,00000000000000000000000000000000,80002264
246,246,0,00000000,00000000000000000000000000000000,80002264
247,247,0,00000000,00000000000000000000000000000000,80002264
248,248,0,00000000,00000000000000000000000000000000,80002264
249,249,0,00000000,00000000000000000000000000000000,80002264
250,250,0,00000000,00000000000000000000000000000000,80002264
251,251,0,00000000,00000000000000000000000000000000,80002264
252,252,0,00000000,00000000000000000000000000000000,80002264
253,253,0,00000000,00000000000000000000000000000000,80002264
254,254,0,00000000,00000000000000000000000000000000,80002264
255,255,0,00000000,00000000000000000000000000000000,80002264
256,256,0,00000000,00000000000000000000000000000000,80002264
257,257,0,00000000,00000000000000000000000000000000,80002264
258,258,0,00000000,00000000000000000000000000000000,80002264
259,259,0,00000000,00000000000000000000000000000000,80002264
260,260,0,00000000,00000000000000000000000000000000,80002264
261,261,0,00000000,00000000000000000000000000000000,80002264
262,262,0,00000000,00000000000000000000000000000000,80002264
263,263,0,00000000,00000000000000000000000000000000,80002264
264,264,0,00000000,00000000000000000000000000000000,80002264
265,265,0,00000000,00000000000000000000000000000000,80002264
266,266,0,00000000,00000000000000000000000000000000,80002264
267,267,0,00000000,00000000000000000000000000000000,80002264
268,268,0,00000000,00000000000000000000000000000000,80002264
269,269,0,00000000,00000000000000000000000000000000,80002264
270,270,0,00000000,00000000000000000000000000000000,80002264
271,271,0,00000000,00000000000000000000000000000000,80002264
272,272,0,00000000,00000000000000000000000000000000,80002264
273,273,0,00000000,00000000000000000000000000000000,80002264
274,274,0,00000000,00000000000000000000000000000000,80002264
275,275,0,00000000,00000000000000000000000000000000,80002264
276,276,0,00000000,00000000000000000000000000000000,80002264
277,277,0,00000000,00000000000000000000000000000000,80002264
278,278,0,00000000,00000000000000000000000000000000,80002264
279,279,0,00000000,00000000000000000000000000000000,80002264
280,280,0,00000000,00000000000000000000000000000000,80002264
281,281,0,00000000,00000000000000000000000000000000,80002264
282,282,0,00000000,00000000000000000000000000000000,80002264
283,283,0,00000000,00000000000000000000000000000000,80002264
284,284,0,00000000,00000000000000000000000000000000,80002264
285,285,0,00000000,00000000000000000000000000000000,80002264
286,286,0,00000000,00000000000000000000000000000000,80002264
287,287,0,00000000,00000000000000000000000000000000,80002264
288,288,0,00000000,00000000000000000000000000000000,80002264
289,289,0,00000000,00000000000000000000000000000000,80002264
290,290,0,00000000,00000000000000000000000000000000,80002264
291,291,0,00000000,00000000000000000000000000000000,80002264
292,292,0,00000000,00000000000000000000000000000000,80002264
293,293,0,00000000,00000000000000000000000000000000,80002264
294,294,0,00000000,00000000000000000000000000000000,80002264
295,295,0,00000000,00000000000000000000000000000000,80002264
296,296,0,00000000,00000000000000000000000000000000,80002264
297,297,0,00000000,00000000000000000000000000000000,80002264
298,298,0,00000000,00000000000000000000000000000000,80002264
299,299,0,00000000,00000000000000000000000000000000,80002264
300,300,0,00000000,00000000000000000000000000000000,80002264
301,301,0,00000000,00000000000000000000000000000000,80002264
302,302,0,00000000,00000000000000000000000000000000,80002264
303,303,0,00000000,00000000000000000000000000000000,80002264
304,304,0,00000000,00000000000000000000000000000000,80002264
305,305,0,00000000,00000000000000000000000000000000,80002264
306,306,0,00000000,00000000000000000000000000000000,80002264
307,307,0,00000000,00000000000000000000000000000000,80002264
308,308,0,00000000,00000000000000000000000000000000,80002264
309,309,0,00000000,00000000000000000000000000000000,80002264
310,310,0,00000000,00000000000000000000000000000000,80002264
311,311,0,00000000,00000000000000000000000000000000,80002264
312,312,0,00000000,00000000000000000000000000000000,80002264
313,313,0,00000000,00000000000000000000000000000000,80002264
314,314,0,00000000,00000000000000000000000000000000,80002264
315,315,0,00000000,00000000000000000000000000000000,80002264
316,316,0,00000000,00000000000000000000000000000000,80002264
317,317,0,00000000,00000000000000000000000000000000,80002264
318,318,0,00000000,00000000000000000000000000000000,80002264
319,319,0,00000000,00000000000000000000000000000000,80002264
320,320,0,00000000,00000000000000000000000000000000,80002264
321,321,0,00000000,00000000000000000000000000000000,80002264
322,322,0,00000000,00000000000000000000000000000000,80002264
323,323,0,00000000,00000000000000000000000000000000,80002264
324,324,0,00000000,00000000000000000000000000000000,80002264
325,325,0,00000000,00000000000000000000000000000000,80002264
326,326,0,00000000,00000000000000000000000000000000,80002264
327,327,0,00000000,00000000000000000000000000000000,80002264
328,328,0,00000000,00000000000000000000000000000000,80002264
329,329,0,00000000,00000000000000000000000000000000,80002264
330,330,0,00000000,00000000000000000000000000000000,80002264
331,331,0,00000000,00000000000000000000000000000000,80002264
332,332,0,00000000,00000000000000000000000000000000,80002264
333,333,0,00000000,00000000000000000000000000000000,80002264
334,334,0,00000000,00000000000000000000000000000000,80002264
335,335,0,00000000,00000000000000000000000000000000,80002264
336,336,0,00000000,00000000000000000000000000000000,80002264
337,337,0,00000000,00000000000000000000000000000000,80002264
338,338,0,00000000,00000000000000000000000000000000,80002264
339,339,0,00000000,00000000000000000000000000000000,80002264
340,340,0,00000000,00000000000000000000000000000000,80002264
